Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.498529185576445e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.406637868593492e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0805546364526604e-06,CTUh
"gold production | gold | Cutoff, U",7.380383477975283e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.480532132312992e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.136784066961026e-07,CTUh
