Process,Contribution,Unit
"coke production | coke | Cutoff, U",3.947263975171886e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.6894817627983077e-09,CTUh
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",3.5895520396641633e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.1414265641863503e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.0889271021582965e-09,CTUh
"treatment of lignite ash, opencast refill | lignite ash | Cutoff, U",2.013892904723101e-09,CTUh
