Process,Contribution,Unit
"electricity production, hard coal | electricity, high voltage | APOS, U",1.628093897230108,kg CO2-Eq
"electricity production, hard coal, conventional | electricity, high voltage | APOS, U",1.4155468734370622,kg CO2-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | APOS, U",1.3731894737423243,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | APOS, U",1.0409335665379387,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | APOS, U",0.9974392656402956,kg CO2-Eq
