Process,Contribution,Unit
"coke production | coke | Cutoff, U",9.322805563531008e-11,CTUh
"coke production, wet quenching | coke | Cutoff, U",9.15622299762747e-11,CTUh
"transport, freight, sea, ferry, heavy fuel oil | transport, freight, sea, ferry, heavy fuel oil | Cutoff, U",4.8264197968476047e-11,CTUh
"coke production | coke | Cutoff, U",2.9047201419867857e-11,CTUh
"coke production, dry quenching | coke | Cutoff, U",2.4167753484167047e-11,CTUh
"treatment of waste polyvinylchloride, open burning | waste polyvinylchloride | Cutoff, U",2.1648502011933595e-11,CTUh
