Process,Contribution,Unit
"gold production | gold | APOS, U",3.7607628694907727e-07,CTUh
"treatment of sewage sludge, 97% water, WWT, WW from wafer fabrication, landfarming | sewage sludge, 97% water, WWT, WW from wafer fabrication | APOS, U",2.0731555397679595e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | APOS, U",2.058057237341369e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | APOS, U",2.0237439245369332e-07,CTUh
"gold mine operation and gold production, unrefined | gold, unrefined | APOS, U",1.434998211525948e-07,CTUh
