Process,Contribution,Unit
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | APOS, U",0.2586549789643186,m3 world Eq deprived
"mandarin production | mandarin | APOS, U",0.236994304819044,m3 world Eq deprived
"mandarin production | mandarin | APOS, U",0.1927568436221068,m3 world Eq deprived
"seed-cotton production, conventional | seed-cotton | APOS, U",0.048363894374593985,m3 world Eq deprived
"mulberry production | mulberry leaves | APOS, U",0.03310542363903636,m3 world Eq deprived
