Process,Contribution,Unit
"treatment of uranium tailing, non-radioactive emission | uranium tailing, non-radioactive emission | Cutoff, U",4.8381131313016045e-06,disease incidence
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",1.0848236432533159e-06,disease incidence
"electricity production, hard coal, at coal mine power plant | electricity, high voltage, for internal use in coal mining | Cutoff, U",9.321187910885418e-07,disease incidence
"treatment of waste reinforced concrete, sorting plant | waste reinforced concrete | Cutoff, U",3.786028130938124e-07,disease incidence
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",2.3057319209184695e-07,disease incidence
"treatment of waste reinforced concrete, collection for final disposal | waste reinforced concrete | Cutoff, U",2.1784662996431907e-07,disease incidence
