Process,Contribution,Unit
"coke production | coke | Cutoff, U",1.0723269606003742e-07,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",4.009707471468414e-08,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.399014085470133e-08,CTUh
"coke production | coke | Cutoff, U",3.3410647685669886e-08,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",2.646055255133968e-08,CTUh
"treatment of copper scrap by electrolytic refining | copper, cathode | Cutoff, U",2.549130769380187e-08,CTUh
