Process,Contribution,Unit
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",8886.470399341866,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",5195.052395984839,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",4904.094557903258,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",1936.975398436194,"MJ, net calorific value"
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",1651.8044469357449,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",1351.1189586436453,"MJ, net calorific value"
