Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.00018986398005020312,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.0001866909767641236,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.731150586174335e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.2377250023729414e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.4284297874089492e-05,CTUh
