Process,Contribution,Unit
"coke production | coke | Cutoff, U",7.392835751306264e-11,CTUh
"coke production, wet quenching | coke | Cutoff, U",6.498940707974114e-11,CTUh
"transport, freight, lorry, >32 metric ton, diesel, EURO 4 | transport, freight, lorry, >32 metric ton, diesel, EURO 4 | Cutoff, U",4.2389139208273237e-11,CTUh
"coke production | coke | Cutoff, U",2.3033966295748856e-11,CTUh
"coke production, dry quenching | coke | Cutoff, U",1.7153885065843697e-11,CTUh
"transport, freight, light commercial vehicle, fleet average | transport, freight, light commercial vehicle, fleet average | Cutoff, U",1.03823767289135e-11,CTUh
