Process,Contribution,Unit
"pig iron production | pig iron | Cutoff, U",35.46683593187492,kg CO2-Eq
"electricity production, lignite | electricity, high voltage | Cutoff, U",32.13597291378392,kg CO2-Eq
"electricity production, natural gas, conventional power plant | electricity, high voltage | Cutoff, U",11.32889285075581,kg CO2-Eq
"pig iron production | pig iron | Cutoff, U",11.167713806655165,kg CO2-Eq
"iron sinter production | iron sinter | Cutoff, U",10.85160903873056,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",9.91308806604856,kg CO2-Eq
