Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.8842312511216583,mol N-Eq
"transport, freight, sea, ferry, heavy fuel oil | transport, freight, sea, ferry, heavy fuel oil | Cutoff, U",0.5909204224352155,mol N-Eq
"blasting | blasting | Cutoff, U",0.44431717088138994,mol N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.2923557615817787,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.18932015748610637,mol N-Eq
"diesel, burned in diesel-electric generating set, 10MW | diesel, burned in diesel-electric generating set, 10MW | Cutoff, U",0.15284065760993107,mol N-Eq
