Process,Contribution,Unit
"gold mine operation and gold production, unrefined | gold, unrefined | APOS, U",0.006087154744483489,kg Sb-Eq
"silver-gold mine operation with refinery | gold | APOS, U",0.002967876137832199,kg Sb-Eq
"gold production | gold | APOS, U",0.0010982622901091128,kg Sb-Eq
"gold-silver mine operation with refinery | gold | APOS, U",0.0010818408124224459,kg Sb-Eq
"gold production | gold | APOS, U",0.0008789470835851886,kg Sb-Eq
