Process,Contribution,Unit
"treatment of tailing, from uranium milling | tailing, from uranium milling | APOS, U",2.855336396623629,kBq U235-Eq
"treatment of spent nuclear fuel, reprocessing | spent nuclear fuel | APOS, U",0.700192025237256,kBq U235-Eq
"treatment of low level radioactive waste, plasma torch incineration | low level radioactive waste | APOS, U",0.23872782300607268,kBq U235-Eq
"electricity production, nuclear, boiling water reactor | electricity, high voltage | APOS, U",0.10107398793130866,kBq U235-Eq
"electricity production, nuclear, boiling water reactor | electricity, high voltage | APOS, U",0.08433259237088651,kBq U235-Eq
