Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",9.900166246172615e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",9.414199632196153e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.9685739394548735e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.5452339221247305e-06,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",2.3877229261336342e-06,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",2.0070113283130426e-06,CTUh
