Process,Contribution,Unit
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",8467.157484967833,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",4949.921037571989,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",4672.692202521238,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",1845.5781661391902,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",1287.3656794725534,"MJ, net calorific value"
"lignite mine operation | lignite | Cutoff, U",320.0589769631156,"MJ, net calorific value"
