Process,Contribution,Unit
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",2.7437302157337753e-08,CTUh
"mounting, surface mount technology, Pb-free solder | mounting, surface mount technology, Pb-free solder | Cutoff, U",1.481517939930953e-08,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",1.2382186044820862e-08,CTUh
"chlor-alkali electrolysis, membrane cell | potassium hydroxide | Cutoff, U",8.470290680837212e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",6.0395831705033094e-09,CTUh
