Process,Contribution,Unit
"pig iron production | pig iron | Cutoff, U",34.95288982668278,kg CO2-Eq
"iron sinter production | iron sinter | Cutoff, U",10.69435953919144,kg CO2-Eq
"pig iron production | pig iron | Cutoff, U",8.034588718425706,kg CO2-Eq
"heat production, light fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",7.674403940739408,kg CO2-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",7.623181877620483,kg CO2-Eq
