Process,Contribution,Unit
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",22036.134427336594,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",12882.378245862063,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",12160.878511487463,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",4803.195008171629,"MJ, net calorific value"
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",3715.124936622609,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",3350.4234709654124,"MJ, net calorific value"
