Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | APOS, U",9.462165631545908e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | APOS, U",8.997699027803324e-09,CTUh
"acrylic acid production, propylene oxidation | acrylic acid | APOS, U",8.342070201939861e-09,CTUh
"acrylic acid production, propylene oxidation | acrylic acid | APOS, U",3.061510671853966e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | APOS, U",2.8372390529777184e-09,CTUh
