Process,Contribution,Unit
"purified terephthalic acid production | purified terephthalic acid | Cutoff, U",1.0028632896252674e-10,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",8.620481565022127e-11,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",8.147918215999849e-11,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",5.469737324269135e-11,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",5.113260553022967e-11,kg CFC-11-Eq
"petroleum and gas production, offshore | natural gas, high pressure | Cutoff, U",4.658959736898536e-11,kg CFC-11-Eq
