Process,Contribution,Unit
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",2719.7415513329634,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",247.88212794510073,m3 world Eq deprived
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",188.12862813530515,m3 world Eq deprived
"electricity production, nuclear, pressure water reactor | electricity, high voltage | Cutoff, U",114.80700752947973,m3 world Eq deprived
"electricity production, nuclear, boiling water reactor | electricity, high voltage | Cutoff, U",81.8928598716039,m3 world Eq deprived
"treatment of waste wire plastic, municipal incineration FAE | waste wire plastic | Cutoff, U",40.40777130857848,m3 world Eq deprived
