Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.368772959114154,kg NMVOC-Eq
"blasting | blasting | Cutoff, U",0.18571142941697258,kg NMVOC-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",0.15733469059078398,kg NMVOC-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.11840286804899285,kg NMVOC-Eq
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.09529863975342834,kg NMVOC-Eq
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.08526433288010918,kg NMVOC-Eq
