Process,Contribution,Unit
"blasting | blasting | Cutoff, U",2.310264932356018e-05,disease incidence
"electricity production, hard coal, at coal mine power plant | electricity, high voltage, for internal use in coal mining | Cutoff, U",1.4212774292095364e-05,disease incidence
"blasting | blasting | Cutoff, U",1.1608587631635139e-05,disease incidence
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.011044040775137e-05,disease incidence
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",9.045895948370989e-06,disease incidence
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",8.893100451760223e-06,disease incidence
