Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.00019022668413656017,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",0.0001870476193465683,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.7382783392323975e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.24199981006574e-05,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.4311585689336506e-05,CTUh
"treatment of copper scrap by electrolytic refining | copper, cathode | Cutoff, U",2.6982514133071315e-06,CTUh
