Process,Contribution,Unit
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.5124253319948298e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",1.438185344583921e-08,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",4.535021245392685e-09,CTUh
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",4.358825638548228e-09,CTUh
"copper mine operation and beneficiation, sulfide ore | copper concentrate, sulfide ore | Cutoff, U",3.888294563904115e-09,CTUh
"molybdenite mine operation | copper concentrate, sulfide ore | Cutoff, U",3.647668685023779e-09,CTUh
