Process,Contribution,Unit
"chlor-alkali electrolysis, average production | sodium hydroxide, without water, in 50% solution state | APOS, U",1.6447832834924222e-10,CTUh
"coke production, wet quenching | coke | APOS, U",3.5911717588834953e-11,CTUh
"treatment of waste polyvinylchloride, open burning | waste polyvinylchloride | APOS, U",3.0397596283507284e-11,CTUh
"coke production | coke | APOS, U",2.952181363245978e-11,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | APOS, U",1.802686789116166e-11,CTUh
