Process,Contribution,Unit
"electricity production, lignite | electricity, high voltage | Cutoff, U",84.72603745014068,kg CO2-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",71.7455334911493,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",55.00963024187858,kg CO2-Eq
"treatment of waste wire plastic, municipal incineration FAE | waste wire plastic | Cutoff, U",47.33667532703468,kg CO2-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",39.16603738213702,kg CO2-Eq
"pig iron production | pig iron | Cutoff, U",37.27240686525725,kg CO2-Eq
