"Designators","Casing","Section","Subsection","Category","Manufacturer","Part_Number","Description","number_elements","unit","Quantity_per_element","Has_datasheet_info","L_mm","W_mm","H_mm","Volume_cm3_excel","Density_min_g_cm3","Density_max_g_cm3","Metal_extra_g","mass_space_relation_m2/kg","Database","Ecoinvent_flow","Ecoinvent_unit","Direction","Comments"
Bobbin,,Magnetics,Inductors,,CERN,,"Copper used in the inductor",1,kg,0.166077,YES,,,,,,,,,EcoInvent,"copper, cathode+wire drawing, copper",kg,Input,"Materials for the inductor."
Coil former,,Magnetics,Inductors,Ferrite Cores & Accessories,TDK ,B65685A1000T001,Coil former without solder pins,1,kg,0.03,YES,,,,,,,,,EcoInvent,"polyester resin, unsaturated+injection moulding",kg,Input,Materials for the transformer mass info:https://de.farnell.com/en-DE/epcos/b65685a1000t001/coil-former-pm-62-1-section/dp/2355116
Ferrite core,,Magnetics,Inductors,Ferrite Cores & Accessories,TDK ,B65684A0315A027 ,Pot core with Airgap,1,kg,0.65664,YES,,,,,,,,,EcoInvent,"grain oriented electrical steel, 0.23 mm coil",kg,Input,Materials for the inductor mass info: https://www.mouser.fr/ProductDetail/TDK/B65684A0315A027?qs=Uha62PnlbFCL%2F7dGO2mJ5Q%3D%3D&srsltid=AfmBOooI7nRNrA2KIwrjWPKoABZ-c18ml4P9otXwFtruQT8GcT1MMtMD.
Cable_tape,,Magnetics,Inductors,,,,White nylon cable tie 100 x 2.5,1,kg,0.0012,YES,,,,,,,,,EcoInvent,nylon 6,kg,Input,Materials for the inductor.
Electrical Tape 92,,Magnetics,Inductors,,,,Kapton ideally or yellow tape,,kg,0.0016,YES,,,,,,,,,EcoInvent,polytetrafluoroethylene,kg,Input,Materials for the inductor.
