Flow,UUID,Unit,Amount,Direction,Section,Subsections,Source_subsystems,Component_rows,Total_mass_kg,Missing_process_components
"cable, unspecified",,kg,0.62964,Input,Cabling,,cabling,1,0.62964,0
SECTION_Cabling,,kg,0.62964,Output,Cabling,,cabling,1,0.62964,0
