Flow,UUID,Unit,Amount,Direction,UUID_provider,Transport_phase_codes
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,kg,0.1180323,Input,40dc9f2f-40c2-37b4-8f38-53d043a5f756,"P2,S1"
"wire drawing, copper",cdb7b939-f508-49ed-80f3-b39f6137fe1c,kg,0.1072323,Input,efa1c88d-6f36-3b05-810d-bed12fa4f2f5,
ferrite,fa6aa6bf-07c9-45bf-9fdc-a358a497b7e1,kg,0.410592,Input,0e2aad85-6f2d-3cc4-ac35-2405033e455b,"P2,S1"
"polyester resin, unsaturated",4bf60736-bc87-4e3d-8d34-ea8bcc46f551,kg,0.02,Input,4d744be8-e65e-3e05-9db5-8a7ccb6a45d0,"P2,S1"
injection moulding,68d6dfcf-2089-4586-9bbf-ad75591105cf,kg,0.02,Input,03cb3867-eb74-3a1a-a332-13b200ce4def,
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,4e-06,Input,dd86962a-dd7e-316b-9ae3-bb22cf1fcbc2,"P2,S1"
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080,kg,0.0108,Input,1b2956e7-27a2-3d24-bdc7-8d4d96c596c9,
polytetrafluoroethylene,53556443-eb03-5fa4-886b-bd89d3526a6c,kg,0.0016,Input,69158efc-9728-3129-885e-539341db6148,"P2,S1"
HF_Power_Transformer_PM624929,,kg,0.5502283,Output,,
