Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Density_used_g_cm3,Density_source,Validation_error
Bobbin,,Magnetics,Inductors,kg,kg,0.498231,0.498231,"copper, cathode+wire drawing, copper",AUTO,CERN,,Copper used in the inductor,1,0.166077,YES,,,,,,,,,EcoInvent,Input,Materials for the inductor.,1,1,1,DATASHEET_QTY_KG,,,MISSING,
Cable_tape,,Magnetics,Inductors,kg,kg,0.0036,0.0036,nylon 6,AUTO,,,White nylon cable tie 100 x 2.5,1,0.0012,YES,,,,,,,,,EcoInvent,Input,Materials for the inductor.,4,1,1,DATASHEET_QTY_KG,,,MISSING,
Electrical Tape 92,,Magnetics,Inductors,kg,kg,0.0048,0.0048,polytetrafluoroethylene,AUTO,,,Kapton ideally or yellow tape,,0.0016,YES,,,,,,,,,EcoInvent,Input,Materials for the inductor.,5,1,1,DATASHEET_QTY_KG,,,MISSING,
Coil former,,Magnetics,Inductors,kg,kg,0.09,0.09,"polyester resin, unsaturated+injection moulding",Ferrite Cores & Accessories,TDK ,B65685A1000T001,Coil former without solder pins,1,0.03,YES,,,,,,,,,EcoInvent,Input,Materials for the transformer mass info:https://de.farnell.com/en-DE/epcos/b65685a1000t001/coil-former-pm-62-1-section/dp/2355116,2,2,2,DATASHEET_QTY_KG,,,MISSING,
Ferrite core,,Magnetics,Inductors,kg,kg,1.96992,1.96992,"grain oriented electrical steel, 0.23 mm coil",Ferrite Cores & Accessories,TDK ,B65684A0315A027 ,Pot core with Airgap,1,0.65664,YES,,,,,,,,,EcoInvent,Input,Materials for the inductor mass info: https://www.mouser.fr/ProductDetail/TDK/B65684A0315A027?qs=Uha62PnlbFCL%2F7dGO2mJ5Q%3D%3D&srsltid=AfmBOooI7nRNrA2KIwrjWPKoABZ-c18ml4P9otXwFtruQT8GcT1MMtMD.,3,2,2,DATASHEET_QTY_KG,,,MISSING,
