"Designators","Casing","Section","Subsection","Category","Manufacturer","Part_Number","Description","number_elements","unit","Quantity_per_element","Has_datasheet_info","L_mm","W_mm","H_mm","Volume_cm3_excel","Density_min_g_cm3","Density_max_g_cm3","Metal_extra_g","mass_space_relation_m2/kg","Database","Ecoinvent_flow","Ecoinvent_unit","Direction","Comments",
P,,Magnetics,Inductors,Wire,CERN,,"Copper wire 3x insul",1,kg,0.036931,YES,,,,,,,,,EcoInvent,"copper, cathode+wire drawing, copper",kg,Input,"Materials for the transformer.",
"S1,S2",,Magnetics,Inductors,Wire,CERN,,"Copper wire grade 2",1,kg,0.0703013,YES,,,,,,,,,EcoInvent,"copper, cathode+wire drawing, copper",kg,Input,"Materials for the transformer.",
Pot core,,Magnetics,Inductors,Ferrite Cores & Accessories,TDK ,B65684A0000R087,Pot core without Airgap,1,kg,0.410592,YES,,,,,,,,,EcoInvent,"ferrite",kg,Input,Materials for the transformer mass info https://www.mouser.ch/ProductDetail/TDK/B65684A0000R087?qs=Uha62PnlbFDxdKtNL2vuzQ%3D%3D&srsltid=AfmBOorBQFj2hP6jaXQ9fuLih3boT-2dEbxR5LlIwbNEIKNOxy0393fo,
Coil former,,Magnetics,Inductors,Ferrite Cores & Accessories,TDK ,B65685A1000T001,Coil former without solder pins,1,kg,0.02,YES,,,,,,,,,EcoInvent,"polyester resin, unsaturated + injection moulding",kg,Input,Materials for the transformer mass info:https://de.farnell.com/en-DE/epcos/b65685a1000t001/coil-former-pm-62-1-section/dp/2355116,
J1,,Electromechanical,Connectors,,CEMBRE,PKE2508,Insulated Wire Connectors,2,kg,0.000002 ,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,"connector",
"crimpling lungs",,Electromechanical,Connectors,,CEMBRE,,"A2-M4 (10 mm² - M4) ",3,kg,0.0036,YES,,,,,,,,,EcoInvent,"copper, cathode + metal working, average for copper product manufacturing",kg,Input,mass datasheet adn material tool,
Electrical Tape 92,,Magnetics,Inductors,,,,Kapton ideally or yellow tape,,kg,0.0016,YES,,,,,,,,,EcoInvent,polytetrafluoroethylene,kg,Input,Materials for the inductor.,
dummy,,dummy element,,,,,,1,kg,0.0000000000001,YES,,,,,,,,,EcoInvent,"wood wool",kg,Input,"Dummy flow to avoid errors in the LCI model. It has a negligible mass and it is not considered in the calculations."
