Flow,UUID,Unit,Amount,Direction,Section,Subsections,Source_subsystems,Component_rows,Total_mass_kg,Missing_process_components,UUID_provider
brass,57771ae0-5e8b-47be-bb73-ba59f2bf8cc8,kg,0.032,Input,Electromechanical,Connectors,"4Q_output_power_card, 4Q_power_card",2,0.032,0,6297076e-fb6f-3698-a2fd-e257aa90b3fa
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a,kg,0.0108,Input,Electromechanical,Connectors,HF_Power_Transformer_PM624929,1,0.0108,0,9e4d4bb4-2aed-3ef2-9caa-46439cf1c523
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.418935,Input,Electromechanical,Connectors,"analog_control, contactor_card, digital_control, filter_card, fuse_card, inverter_power_card",17,0.418935,0,767a703b-4ad7-3037-9d45-63376b3ebf6f
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.25223066856,Input,Electromechanical,Connectors,"4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, HF_Power_Transformer_PM624929, analog_control, contactor_card, control_backplane_card, digital_control, fan_supervision_card, fuse_card, inverter_power_card",27,0.25223066856,0,e7dad296-81c0-3161-940f-7e089569896d
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.08368796875,Input,Electromechanical,"Fuse holder, Switches","4Q_output_control_card, digital_control, fan_supervision_card, fuse_card",7,0.08368796875,0,0e5d7b83-f812-32ac-a5e1-ac1d95910183
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080,kg,0.0428,Input,Electromechanical,Connectors,"4Q_output_power_card, 4Q_power_card, HF_Power_Transformer_PM624929",3,0.0428,0,05199773-548f-31b2-88b4-f1f8d6f9da98
"transformer production, low voltage use",0c7faf73-f5ea-4a3b-96ec-54d025cae6f4,kg,0.03398,Input,Electromechanical,Relays,contactor_card,1,0.03398,0,fae82ba0-8a94-328c-8dc2-410e3fc0227e
SECTION_Electromechanical,,kg,0.83163363731,Output,Electromechanical,"Connectors, Fuse holder, Relays, Switches","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, HF_Power_Transformer_PM624929, analog_control, contactor_card, control_backplane_card, digital_control, fan_supervision_card, filter_card, fuse_card, inverter_power_card",55,0.83163363731,0,
