Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Density_used_g_cm3,Density_source,Validation_error
P,,Magnetics,Inductors,kg,kg,0.036931,0.036931,"copper, cathode+wire drawing, copper",Wire,CERN,,Copper wire 3x insul,1,0.036931,YES,,,,,,,,,EcoInvent,Input,Materials for the transformer.,1,1,1,DATASHEET_QTY_KG,,,MISSING,
"S1,S2",,Magnetics,Inductors,kg,kg,0.0703013,0.0703013,"copper, cathode+wire drawing, copper",Wire,CERN,,Copper wire grade 2,1,0.0703013,YES,,,,,,,,,EcoInvent,Input,Materials for the transformer.,2,1,1,DATASHEET_QTY_KG,,,MISSING,
Pot core,,Magnetics,Inductors,kg,kg,0.410592,0.410592,"grain oriented electrical steel, 0.23 mm coil",Ferrite Cores & Accessories,TDK ,B65684A0000R087,Pot core without Airgap,1,0.410592,YES,,,,,,,,,EcoInvent,Input,Materials for the transformer mass info https://www.mouser.ch/ProductDetail/TDK/B65684A0000R087?qs=Uha62PnlbFDxdKtNL2vuzQ%3D%3D&srsltid=AfmBOorBQFj2hP6jaXQ9fuLih3boT-2dEbxR5LlIwbNEIKNOxy0393fo,3,2,2,DATASHEET_QTY_KG,,,MISSING,
Coil former,,Magnetics,Inductors,kg,kg,0.02,0.02,"polyester resin, unsaturated+injection moulding",Ferrite Cores & Accessories,TDK ,B65685A1000T001,Coil former without solder pins,1,0.02,YES,,,,,,,,,EcoInvent,Input,Materials for the transformer mass info:https://de.farnell.com/en-DE/epcos/b65685a1000t001/coil-former-pm-62-1-section/dp/2355116,4,2,2,DATASHEET_QTY_KG,,,MISSING,
J1,,Electromechanical,Connectors,kg,kg,4e-06,4e-06,"electric connector production, wire clamp",AUTO,CEMBRE,PKE2508,Insulated Wire Connectors,2,2e-06,YES,,,,,,,,,EcoInvent,Input,connector,5,3,3,DATASHEET_QTY_KG,,,MISSING,
crimpling lungs,,Electromechanical,Connectors,kg,kg,0.0108,0.0108,"copper, cathode + metal working, average for copper product manufacturing",AUTO,CEMBRE,,A2-M4 (10 mm² - M4) ,3,0.0036,YES,,,,,,,,,EcoInvent,Input,mass datasheet adn material tool,6,3,3,DATASHEET_QTY_KG,,,MISSING,
