Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Total_mass_kg,Formula_basis,Validation_error
66,31,33,Thin Film,Passives,Resistors,"R5_ANA_CAL_0, R5_ANA_CAL_1, R8_ANA_CAL_0, R8_ANA_CAL_1, R26, R28, R35, R39, R43, R54, R55, R60, R61, R62",0603,R0603_1K_0.1%_0.1W_25PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,9.3184e-05,9.3184e-05,mass-based,
70,31,33,Thin Film,Passives,Resistors,"R10_ANA_CAL_0, R10_ANA_CAL_1, R18_ANA_CAL_0, R18_ANA_CAL_1",0603,R0603_1M_0.1%_0.063W_25PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,2.6624e-05,2.6624e-05,mass-based,
71,31,33,Thin Film,Passives,Resistors,"R11_ANA_CAL_0, R11_ANA_CAL_1",0603,R0603_20R_0.1%_0.063W_10PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.3312e-05,1.3312e-05,mass-based,
72,31,33,Thin Film,Passives,Resistors,"R12_ANA_CAL_0, R12_ANA_CAL_1, R13_ANA_CAL_0, R13_ANA_CAL_1, R16_ANA_CAL_0, R16_ANA_CAL_1, R17_ANA_CAL_0, R17_ANA_CAL_1",0603,R0603_220R_0.1%_0.1W_25PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,5.3248e-05,5.3248e-05,mass-based,
73,31,33,Thin Film,Passives,Resistors,"R15_ANA_CAL_0, R15_ANA_CAL_1, R21_ANA_CAL_0, R21_ANA_CAL_1",0603,R0603_5R1_0.1%_0.063W_25PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,2.6624e-05,2.6624e-05,mass-based,
64,32,34,Thick Film,Passives,Resistors,"R2, R4, R33, R37, R40, R41, R42, R44, R45, R46, R49, R50, R53, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R123, R124, R125, R132, R133, R138, R156, R158, R159",0402,R0402_10K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,2.6e-05,2.6e-05,mass-based,
67,32,34,Thick Film,Passives,Resistors,"R6, R22, R23, R157",0402,R0402_51R_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,3.25e-06,3.25e-06,mass-based,
68,32,34,Thick Film,Passives,Resistors,"R7, R24",0402,R0402_820R_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.625e-06,1.625e-06,mass-based,
69,32,34,Thick Film,Passives,Resistors,"R9_ANA_CAL_0, R9_ANA_CAL_1, R19_ANA_CAL_0, R19_ANA_CAL_1",0402,R0402_470R_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,3.25e-06,3.25e-06,mass-based,
74,32,34,Thick Film,Passives,Resistors,"R25, R34, R129, R149, R155",0805,R0805_0R05_1%_0.25W_300PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,4.0625e-05,4.0625e-05,mass-based,
75,32,34,Thick Film,Passives,Resistors,R32,0402,R0402_11K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,8.125e-07,8.125e-07,mass-based,
76,32,34,Thick Film,Passives,Resistors,"R36, R51, R137, R140",0402,R0402_30K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,3.25e-06,3.25e-06,mass-based,
77,32,34,Thick Film,Passives,Resistors,"R38, R131",0402,R0402_51K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.625e-06,1.625e-06,mass-based,
78,32,34,Thick Film,Passives,Resistors,"R47, R48",0402,R0402_240K_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,1.625e-06,1.625e-06,mass-based,
79,32,34,Thick Film,Passives,Resistors,"R63_ADC_1, R63_ADC_2, R63_ADC_3, R63_ADC_4, R63_ADC_5, R63_ADC_6, R68_ADC_1, R68_ADC_2, R68_ADC_3, R68_ADC_4, R68_ADC_5, R68_ADC_6, R69_ADC_1, R69_ADC_2, R69_ADC_3, R69_ADC_4, R69_ADC_5, R69_ADC_6, R74_ADC_1, R74_ADC_2, R74_ADC_3, R74_ADC_4, R74_ADC_5, R74_ADC_6, R75_ADC_1, R75_ADC_2, R75_ADC_3, R75_ADC_4, R75_ADC_5, R75_ADC_6, R80_ADC_1, R80_ADC_2, R80_ADC_3, R80_ADC_4, R80_ADC_5, R80_ADC_6, R81_ADC_1, R81_ADC_2, R81_ADC_3, R81_ADC_4, R81_ADC_5, R81_ADC_6, R86_ADC_1, R86_ADC_2, R86_ADC_3, R86_ADC_4, R86_ADC_5, R86_ADC_6, R87_ADC_1, R87_ADC_2, R87_ADC_3, R87_ADC_4, R87_ADC_5, R87_ADC_6, R92_ADC_1, R92_ADC_2, R92_ADC_3, R92_ADC_4, R92_ADC_5, R92_ADC_6, R93_ADC_1, R93_ADC_2, R93_ADC_3, R93_ADC_4, R93_ADC_5, R93_ADC_6, R98_ADC_1, R98_ADC_2, R98_ADC_3, R98_ADC_4, R98_ADC_5, R98_ADC_6, R99_ADC_1, R99_ADC_2, R99_ADC_3, R99_ADC_4, R99_ADC_5, R99_ADC_6, R104_ADC_1, R104_ADC_2, R104_ADC_3, R104_ADC_4, R104_ADC_5, R104_ADC_6, R105_ADC_1, R105_ADC_2, R105_ADC_3, R105_ADC_4, R105_ADC_5, R105_ADC_6, R110_ADC_1, R110_ADC_2, R110_ADC_3, R110_ADC_4, R110_ADC_5, R110_ADC_6, R126",0402,R0402_1M_1%_0.0625W_100PPM,EcoInvent,"resistor production, surface-mounted",kg,Input,7.88125e-05,7.88125e-05,mass-based,
