Flow,UUID,Unit,Amount,Direction,Section,Subsections,Source_subsystems,Component_rows,Total_mass_kg,Missing_process_components
"capacitor production, for surface-mounting",,kg,1.95e-05,Input,Discrete Semiconductors,Small signal,digital_control,1,1.95e-05,0
"diode production, glass-, for surface-mounting",,kg,0.007565800916,Input,Discrete Semiconductors,"ESD Protection, Power, Small signal","4Q_output_control_card, 4Q_power_card, analog_control, contactor_card, digital_control, inverter_power_card",31,0.007565800916,0
"diode production, glass-, for through-hole mounting",,kg,0.00028748,Input,Discrete Semiconductors,Small signal,"4Q_output_power_card, 4Q_power_card",2,0.00028748,0
"insulated gate bipolar transistor production, for electric vehicle applications",,kg,0.02168,Input,Discrete Semiconductors,Power,inverter_power_card,1,0.02168,0
light emitting diode production,,kg,0.00098096,Input,Discrete Semiconductors,Optoelectronics,"contactor_card, digital_control, inverter_power_card",4,0.00098096,0
"transistor production, surface-mounted",,kg,0.0017238925,Input,Discrete Semiconductors,"Power, Small signal","4Q_output_control_card, 4Q_power_card, analog_control, contactor_card, digital_control, inverter_power_card",14,0.0017238925,0
"transistor production, wired, big size, through-hole mounting",,kg,0.10298,Input,Discrete Semiconductors,Power,"4Q_output_power_card, 4Q_power_card, contactor_card",4,0.10298,0
"transistor production, wired, small size, through-hole mounting",,kg,0.0038,Input,Discrete Semiconductors,Power,4Q_power_card,1,0.0038,0
SECTION_Discrete_Semiconductors,,kg,0.139037633416,Output,Discrete Semiconductors,"ESD Protection, Optoelectronics, Power, Small signal","4Q_output_control_card, 4Q_output_power_card, 4Q_power_card, analog_control, contactor_card, digital_control, inverter_power_card",58,0.139037633416,0
