Flow,UUID,Unit,Amount,Direction,Section,Subsections,Source_subsystems,Component_rows,Total_mass_kg,Missing_process_components,UUID_provider
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.0005,Input,IC,Analog,digital_control,1,0.0005,0,0ab592b0-9c9e-3c70-af7e-3bee25ba253a
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5,kg,0.028860614526,Input,IC,"Analog, Digital, Logic / Mixed-Signal, Memory, Mixed signal, Mixed-Signal, Optoelectronics","4Q_output_control_card, 4Q_power_card, analog_control, digital_control, inverter_power_card",61,0.028860614526,0,8f52d745-448c-3c83-b48a-7a26867102b0
SECTION_IC,,kg,0.029360614526,Output,IC,"Analog, Digital, Logic / Mixed-Signal, Memory, Mixed signal, Mixed-Signal, Optoelectronics","4Q_output_control_card, 4Q_power_card, analog_control, digital_control, inverter_power_card",62,0.029360614526,0,
