Flow,UUID,Unit,Amount,Direction
4Q_output_control_card,,LU,1,Input
4Q_output_power_card,,LU,1,Input
4Q_power_card,,LU,1,Input
analog_control,,LU,1,Input
cabling,,LU,1,Input
contactor_card,,LU,1,Input
control_backplane_card,,LU,1,Input
digital_control,,LU,1,Input
fan_supervision_card,,LU,1,Input
filter_card,,LU,1,Input
fuse_card,,LU,1,Input
HF_Power_Transformer_PM624929,,LU,1,Input
inverter_power_card,,LU,1,Input
mechanical_components,,LU,1,Input
power_inductor_PM6249,,LU,1,Input
