Flow,UUID,Unit,Amount,Direction,Section,Subsections,Source_subsystems,Component_rows,Total_mass_kg,Missing_process_components,UUID_provider
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc,kg,0.000854,Input,Modules,Hybrid relays,4Q_output_control_card,1,0.000854,0,0ab592b0-9c9e-3c70-af7e-3bee25ba253a
ten,,kg,0.0127,Input,Modules,DC/DC Converters,4Q_output_control_card,1,0.0127,0,140cc8e0-78ce-3f9c-8646-3210c501e796
SECTION_Modules,,kg,0.013554,Output,Modules,"DC/DC Converters, Hybrid relays",4Q_output_control_card,2,0.013554,0,
