Flow,UUID,Unit,Amount,Direction,UUID_provider
connector_system_transport,,tkm,214.775163986,output,
S2,3065941e-a58e-448b-9b8f-e9f1f2344fd7,tkm,106.34803,Input,68d584c8-1455-405c-b33f-70ffd6577126
R1,677499e8-7a4f-4604-8db8-ec6094c984f3,tkm,24.428,Input,4683a399-ec0f-4870-8906-b164be385dd3
R3,ad8b8c46-7f50-49b5-b453-8bbffbf559df,tkm,81.9198875,Input,93e12cb7-82ed-4a39-a337-efc6d3dafdcd
