Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.008130311075467477,kg N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.004236397370574462,kg N-Eq
"blasting | blasting | Cutoff, U",0.004054316429030929,kg N-Eq
"diesel, burned in diesel-electric generating set, 10MW | diesel, burned in diesel-electric generating set, 10MW | Cutoff, U",0.0035634171269099723,kg N-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.0028565608091093426,kg N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.002241583953673089,kg N-Eq
