Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.5461040144489177e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.5202655530558192e-09,CTUh
"gold production | gold | Cutoff, U",1.1567160929565274e-09,CTUh
"market for wastewater from wafer fabrication | wastewater from wafer fabrication | Cutoff, U",7.501894947557372e-10,CTUh
"treatment of sewage sludge, 97% water, WWT, WW from wafer fabrication, landfarming | sewage sludge, 97% water, WWT, WW from wafer fabrication | Cutoff, U",5.591223521420627e-10,CTUh
"zinc mine operation | zinc concentrate | Cutoff, U",4.835944452624132e-10,CTUh
