Process,Contribution,Unit
"coke production | coke | Cutoff, U",7.395412848206205e-11,CTUh
"coke production, wet quenching | coke | Cutoff, U",6.501311039370124e-11,CTUh
"transport, freight, lorry, >32 metric ton, diesel, EURO 4 | transport, freight, lorry, >32 metric ton, diesel, EURO 4 | Cutoff, U",4.47265917435897e-11,CTUh
"diesel production, low-sulfur, petroleum refinery operation | diesel, low-sulfur | Cutoff, U",2.4153829594865825e-11,CTUh
"coke production | coke | Cutoff, U",2.3035311530853378e-11,CTUh
"coke production, dry quenching | coke | Cutoff, U",1.7160881765551715e-11,CTUh
