Process,Contribution,Unit
"electricity production, hard coal | electricity, high voltage | Cutoff, U",1.9063568833188937,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",1.2507656769736823,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",1.192064668545661,kg CO2-Eq
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",1.0963351484895358,kg CO2-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",1.0815566339549976,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.9393001873400966,kg CO2-Eq
