Process,Contribution,Unit
"pig iron production | pig iron | Cutoff, U",34.95288982668322,kg CO2-Eq
"iron sinter production | iron sinter | Cutoff, U",10.694359539191577,kg CO2-Eq
"pig iron production | pig iron | Cutoff, U",8.034588718429864,kg CO2-Eq
"heat production, light fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",7.674403940739476,kg CO2-Eq
"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",7.623181877620769,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",7.1908313988621995,kg CO2-Eq
