Process,Contribution,Unit
"uranium production, in yellowcake, in-situ leaching | uranium, in yellowcake | Cutoff, U",11414.21221869723,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",6672.776464704589,"MJ, net calorific value"
"uranium mine operation, underground | uranium ore, as U | Cutoff, U",6299.0561504162015,"MJ, net calorific value"
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",3704.8439815025126,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",2487.9448494853164,"MJ, net calorific value"
"uranium mine operation, open cast | uranium ore, as U | Cutoff, U",1735.4425135772594,"MJ, net calorific value"
