Process,Contribution,Unit
"coke production | coke | Cutoff, U",3.945888462815449e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.6881366041980783e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",1.824162943227828e-09,CTUh
"chlor-alkali electrolysis, average production | sodium hypochlorite, without water, in 15% solution state | Cutoff, U",1.4992151376835719e-09,CTUh
"coke production | coke | Cutoff, U",1.2294262298904148e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",9.734797447516101e-10,CTUh
