Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.8960577172912321e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.8643708361567974e-06,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.7260763528821773e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.234681775238714e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.4264871732433244e-07,CTUh
"zinc mine operation | copper concentrate, sulfide ore | Cutoff, U",4.550626471763411e-08,CTUh
