Process,Contribution,Unit
"coke production | coke | Cutoff, U",4.010577948686128e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",3.7229444094822966e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.9818339391354854e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.9320015860745268e-09,CTUh
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",2.928188815198715e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",1.7704380584496528e-09,CTUh
