Process,Contribution,Unit
"petroleum and gas production, onshore | petroleum | Cutoff, U",42.7136817583773,"MJ, net calorific value"
"petroleum and gas production, offshore | petroleum | Cutoff, U",36.80783372823733,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",23.284470826550923,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",18.21623429065738,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",17.61485012369843,"MJ, net calorific value"
"petroleum and gas production, onshore | petroleum | Cutoff, U",15.590951584830282,"MJ, net calorific value"
