Process,Contribution,Unit
"coke production | coke | Cutoff, U",5.769122257319858e-10,CTUh
"transport, freight, lorry, >32 metric ton, diesel, EURO 4 | transport, freight, lorry, >32 metric ton, diesel, EURO 4 | Cutoff, U",5.558149647166678e-10,CTUh
"coke production, wet quenching | coke | Cutoff, U",4.567717306667036e-10,CTUh
"coke production | coke | Cutoff, U",1.7974938454121637e-10,CTUh
"coke production, dry quenching | coke | Cutoff, U",1.2056441382161253e-10,CTUh
"transport, freight, light commercial vehicle, fleet average | transport, freight, light commercial vehicle, fleet average | Cutoff, U",8.013416991794482e-11,CTUh
