Process,Contribution,Unit
"petroleum and gas production, offshore | petroleum | Cutoff, U",2.0320466447043815e-08,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",7.030055327957063e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",6.830597363485353e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",4.5514739699242095e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",3.7225402962642567e-09,kg CFC-11-Eq
"petroleum and gas production, offshore | petroleum | Cutoff, U",3.6792600372071303e-09,kg CFC-11-Eq
