Process,Contribution,Unit
"electricity production, lignite | electricity, high voltage | Cutoff, U",29.890368783195235,kg CO2-Eq
"electricity production, natural gas, conventional power plant | electricity, high voltage | Cutoff, U",11.243853840312891,kg CO2-Eq
"market for electricity, high voltage | electricity, high voltage | Cutoff, U",9.530408440309854,kg CO2-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",8.441313540077891,kg CO2-Eq
"clinker production | clinker | Cutoff, U",7.585489096763158,kg CO2-Eq
"heat and power co-generation, natural gas, 500kW electrical, lean burn | electricity, high voltage | Cutoff, U",5.321254789222111,kg CO2-Eq
