Process,Contribution,Unit
"coke production | coke | Cutoff, U",9.920313237518492e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",9.272302225769706e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",4.586107276884795e-09,CTUh
"chlor-alkali electrolysis, average production | sodium hypochlorite, without water, in 15% solution state | Cutoff, U",3.769159700383057e-09,CTUh
"coke production | coke | Cutoff, U",3.0908864804131084e-09,CTUh
"coke production, dry quenching | coke | Cutoff, U",2.4474143375621286e-09,CTUh
