Process,Contribution,Unit
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",2.4053260915294615e-08,CTUh
"chlor-alkali electrolysis, membrane cell | sodium hydroxide, without water, in 50% solution state | Cutoff, U",5.6361749262457e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",5.2946711823111875e-09,CTUh
"aluminium production, primary, ingot | aluminium, primary, ingot | Cutoff, U",3.0828152854030933e-09,CTUh
"treatment of municipal solid waste, open burning | municipal solid waste | Cutoff, U",2.574641872952664e-09,CTUh
"coke production, wet quenching | coke | Cutoff, U",1.344182504507091e-09,CTUh
