Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.553238461851961e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.460432844466396e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.0913059410545438e-07,CTUh
"gold production | gold | Cutoff, U",8.642166507423608e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",6.54501214339834e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",4.177944249033934e-08,CTUh
