Process,Contribution,Unit
"lignite mine operation | lignite | Cutoff, U",288.47945040259833,CTUe
"treatment of sulfidic tailings, generic, tailings impoundment | sulfidic tailings, generic | Cutoff, U",125.98973851148745,CTUe
"uranium production, in yellowcake | uranium, in yellowcake | Cutoff, U",75.125692495583,CTUe
"hard coal mine operation and hard coal preparation | hard coal | Cutoff, U",74.73518919732422,CTUe
"treatment of water discharge from petroleum/natural gas extraction, onshore | water discharge from petroleum/natural gas extraction, onshore | Cutoff, U",56.80111748408811,CTUe
"treatment of sulfidic tailings, from copper mine operation, tailings impoundment | sulfidic tailings, from copper mine operation | Cutoff, U",38.60646075434396,CTUe
