Process,Contribution,Unit
"anaerobic digestion of manure | biogas | Cutoff, U",1.9275351227492434,kg CO2-Eq
"electricity production, hydro, reservoir, alpine region, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",1.1939692172846161,kg CO2-Eq
"heat and power co-generation, biogas, gas engine, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",0.3560752134281035,kg CO2-Eq
"electricity production, hydro, reservoir, alpine region | electricity, high voltage | Cutoff, U",0.044643145264751036,kg CO2-Eq
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",0.012434937508131518,kg CO2-Eq
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | Cutoff, U",0.010750988293603249,kg CO2-Eq
