Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.6393316817061897e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",2.595223219970091e-07,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",5.186736288106168e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.110699824235905e-08,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.9856846949086393e-08,CTUh
"treatment of lignite ash, opencast refill | lignite ash | Cutoff, U",1.3286903839990837e-08,CTUh
