Process,Contribution,Unit
"clinker production | clinker | Cutoff, U",9.482322700495548,kg CO2-Eq
"market for electricity, high voltage, renewable energy products | electricity, high voltage, renewable energy products | Cutoff, U",9.41303240658903,kg CO2-Eq
"clinker production | clinker | Cutoff, U",4.024807500178189,kg CO2-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",3.5810785064650728,kg CO2-Eq
"pig iron production | pig iron | Cutoff, U",3.1046103588179355,kg CO2-Eq
"natural gas venting from petroleum/natural gas production | natural gas, vented | Cutoff, U",1.6667506160965364,kg CO2-Eq
