Process,Contribution,Unit
"blasting | blasting | Cutoff, U",0.13358692389039128,mol N-Eq
"blasting | blasting | Cutoff, U",0.0666153675062644,mol N-Eq
"diesel, burned in building machine | diesel, burned in building machine | Cutoff, U",0.04645498167087563,mol N-Eq
"diesel, burned in diesel-electric generating set, 10MW | diesel, burned in diesel-electric generating set, 10MW | Cutoff, U",0.039023539744566786,mol N-Eq
"electricity production, hard coal, conventional | electricity, high voltage | Cutoff, U",0.03128264536453933,mol N-Eq
"electricity production, hard coal | electricity, high voltage | Cutoff, U",0.02454793738469758,mol N-Eq
