Process,Contribution,Unit
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",0.01951219068244644,kg CO2-Eq
"soy-based resin production | polyester resin, unsaturated | Cutoff, S",0.0068504120979867205,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0009823394502113906,kg CO2-Eq
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | Cutoff, U",0.0007628473494043021,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0007268546287348637,kg CO2-Eq
"electricity production, hydro, reservoir, tropical region | electricity, high voltage | Cutoff, U",0.0006567604607621919,kg CO2-Eq
